"","Sample","Status","Title","Platform","EGAS ID","ERP ID","ERS ID"
"277","GSM2180432","Private","RHC4772","GPL11154","EGAS00001001945","ERP016958","ERS1312458"
"278","GSM2180433","Private","RHC4774","GPL11154","EGAS00001001945","ERP016958","ERS1312460"
"279","GSM2180434","Private","RHC4775","GPL11154","EGAS00001001945","ERP016958","ERS1312461"
"280","GSM2180435","Private","RHC4776","GPL11154","EGAS00001001945","ERP016958","ERS1312462"
"281","GSM2180436","Private","RHC4780","GPL11154","EGAS00001001945","ERP016958","ERS1312466"
"282","GSM2180437","Private","RHC4781","GPL11154","EGAS00001001945","ERP016958","ERS1312467"
"283","GSM2180438","Private","RHC4784","GPL11154","EGAS00001001945","ERP016958","ERS1312470"
"284","GSM2180439","Private","RHC4787","GPL11154","EGAS00001001945","ERP016958","ERS1312473"
"285","GSM2180440","Private","RHC4788","GPL11154","EGAS00001001945","ERP016958","ERS1312474"
"286","GSM2180441","Private","RHC4789","GPL11154","EGAS00001001945","ERP016958","ERS1312475"
"287","GSM2180442","Private","RHC4797","GPL11154","EGAS00001001945","ERP016958","ERS1312483"
