"","gene","DDcategory","Clusters.combined","Clusters.c1","Clusters.c2","nonzero.pvalue","nonzero.pvalue.adj"
"MUM1","MUM1",NA,NA,NA,NA,2.27121881962722e-05,0.0017094438991973
"IFITM2","IFITM2",NA,NA,NA,NA,0.000850051850609157,0.0208909020295406
"THAP5","THAP5",NA,NA,NA,NA,0.000108735597216025,0.00531492100185227
"ID3","ID3",NA,NA,NA,NA,0.00137038059212735,0.0282205494819446
"RP11-492M23.2","RP11-492M23.2",NA,NA,NA,NA,0.000494890404122428,0.0153212722683549
"CD44","CD44",NA,NA,NA,NA,0.00158893504533142,0.0314276571175435
"RBMX2","RBMX2",NA,NA,NA,NA,2.02960495754301e-05,0.00159831390406512
"KIAA1524","KIAA1524",NA,NA,NA,NA,1.36376866066712e-06,0.0001909457463693
"HIGD1A","HIGD1A",NA,NA,NA,NA,0.000682421042236592,0.0184598255418255
"TARBP1","TARBP1",NA,NA,NA,NA,0.000280732116001658,0.0104522428660655
"NOLC1","NOLC1",NA,NA,NA,NA,0.000421963659040125,0.0136977134356346
"DUT","DUT",NA,NA,NA,NA,0.00119536216347949,0.0257381144313747
"HNRNPA3","HNRNPA3",NA,NA,NA,NA,4.27777658060791e-05,0.00258031842681349
"TAF1D","TAF1D",NA,NA,NA,NA,0.00117714126140955,0.0255397612966537
"RPL10","RPL10",NA,NA,NA,NA,0.00018780693664,0.00786846303508967
"IGKC","IGKC",NA,NA,NA,NA,0.000126575930673112,0.00594767011256804
"MT-ND4","MT-ND4",NA,NA,NA,NA,0.00326412092878969,0.0492222491123339
"KRT8","KRT8",NA,NA,NA,NA,8.01836679769075e-05,0.00411421626957688
"PITPNB","PITPNB",NA,NA,NA,NA,0.00130438392272236,0.0271906501538081
"FYB","FYB",NA,NA,NA,NA,0.00200298144768607,0.0357885655726261
"RP11-645C24.2","RP11-645C24.2",NA,NA,NA,NA,0.00218200763380316,0.0378734182152978
"SRSF2","SRSF2",NA,NA,NA,NA,0.00168703492907651,0.032251121228086
"RP11-296A18.5","RP11-296A18.5",NA,NA,NA,NA,0.00315179501173868,0.0489160886402143
"EEF1D","EEF1D",NA,NA,NA,NA,0.000126542750795267,0.00594767011256804
"HCG18","HCG18",NA,NA,NA,NA,0.0027306933139214,0.0444914686492365
