"","Score"
"PHC3",0.00015697018993393
"RORB",0.000156494522691706
"LCOR",0.000156494522691706
"MKLN1",0.000156494522691706
"RAB3IP",0.000156494522691706
"CYB5R4",0.000156494522691706
"FBXW2",0.000156494522691706
"MMP16",0.000156018855449482
"PDE12",0.000156018855449482
"AGAP1",0.000156018855449482
"FAM168A",0.000156018855449482
"AP5M1",0.000156018855449482
"PLEKHM3",0.000156018855449482
"ZNF445",0.000156018855449482
"BMPR2",0.000155543188207258
"RYBP",0.000155543188207258
"SOGA3",0.000155543188207258
"SLC5A3",0.000155543188207258
"TTC39B",0.000155543188207258
"PAQR3",0.000155543188207258
"MRPL3",0.000155543188207258
"ACOT2",0.000155543188207258
"SPTLC2",0.000155543188207258
"ARHGAP26",0.000155543188207258
"RAB22A",0.000155067520965034
"DYRK2",0.000155067520965034
"AMER2",0.000155067520965034
"SLC16A7",0.00015459185372281
"IL6ST",0.00015459185372281
"ZNF708",0.00015459185372281
"HDAC2",0.00015459185372281
"ZNF451",0.00015459185372281
"CLCN5",0.00015459185372281
"SNTB2",0.00015459185372281
"ZNF417",0.00015459185372281
"SLFN12",0.00015459185372281
"SEMA5A",0.000154116186480586
"TMED8",0.000154116186480586
"C12orf49",0.000153640519238362
"HCFC2",0.000153640519238362
"MAP3K2",0.000153640519238362
"MAP3K9",0.000153640519238362
"TANC2",0.000153640519238362
"PRKCA",0.000153640519238362
"IKZF3",0.000153640519238362
"SLFN5",0.000153640519238362
"SLC24A2",0.000153640519238362
"AGPAT4",0.000153640519238362
"NR2C2",0.000153164851996138
